[39002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[40002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[41002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[42002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[43002 ms] Avg: 22.17 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[44002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[45002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[46002 ms] Avg: 22.17 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[47002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[48002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
